ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
165210,SANTA_ANITA,20150106,100000,-76.9714,-12.043,253,69.31,20.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165211,SANTA_ANITA,20150106,110000,-76.9714,-12.043,253,70.81,22.4,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165212,SANTA_ANITA,20150106,120000,-76.9714,-12.043,253,61.96,20.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165213,SANTA_ANITA,20150106,130000,-76.9714,-12.043,253,60.33,20.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165214,SANTA_ANITA,20150106,140000,-76.9714,-12.043,253,73.17,24.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165215,SANTA_ANITA,20150106,150000,-76.9714,-12.043,253,97.74,27.4,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165216,SANTA_ANITA,20150106,160000,-76.9714,-12.043,253,98.22,29.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165217,SANTA_ANITA,20150106,170000,-76.9714,-12.043,253,95.33,32.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165218,SANTA_ANITA,20150106,180000,-76.9714,-12.043,253,92.69,25.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165219,SANTA_ANITA,20150106,190000,-76.9714,-12.043,253,88.99,22.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165220,SANTA_ANITA,20150106,200000,-76.9714,-12.043,253,70.62,19.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165221,SANTA_ANITA,20150106,210000,-76.9714,-12.043,253,57.67,21.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165222,SANTA_ANITA,20150106,220000,-76.9714,-12.043,253,59.57,16.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165223,SANTA_ANITA,20150106,230000,-76.9714,-12.043,253,85.01,15.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165224,SANTA_ANITA,20150107,0,-76.9714,-12.043,253,85.2,16,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165225,SANTA_ANITA,20150107,10000,-76.9714,-12.043,253,81.08,18.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165226,SANTA_ANITA,20150107,20000,-76.9714,-12.043,253,78.06,19.4,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165227,SANTA_ANITA,20150107,30000,-76.9714,-12.043,253,75.11,20.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165228,SANTA_ANITA,20150107,40000,-76.9714,-12.043,253,60.22,12.4,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165229,SANTA_ANITA,20150107,50000,-76.9714,-12.043,253,52.86,12.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165230,SANTA_ANITA,20150107,60000,-76.9714,-12.043,253,68.26,11.4,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165231,SANTA_ANITA,20150107,70000,-76.9714,-12.043,253,48.26,12.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165232,SANTA_ANITA,20150107,80000,-76.9714,-12.043,253,68.67,25.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165233,SANTA_ANITA,20150107,90000,-76.9714,-12.043,253,70.24,27,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165234,SANTA_ANITA,20150107,100000,-76.9714,-12.043,253,58.9,21.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165235,SANTA_ANITA,20150107,110000,-76.9714,-12.043,253,51.62,17.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165236,SANTA_ANITA,20150107,120000,-76.9714,-12.043,253,72.43,22,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165237,SANTA_ANITA,20150107,130000,-76.9714,-12.043,253,90.94,24.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165238,SANTA_ANITA,20150107,140000,-76.9714,-12.043,253,103.88,30,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165239,SANTA_ANITA,20150107,150000,-76.9714,-12.043,253,102.24,31.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165240,SANTA_ANITA,20150107,160000,-76.9714,-12.043,253,72.62,25,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165241,SANTA_ANITA,20150107,170000,-76.9714,-12.043,253,60.24,18.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165242,SANTA_ANITA,20150107,180000,-76.9714,-12.043,253,64.05,17.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165243,SANTA_ANITA,20150107,190000,-76.9714,-12.043,253,68.33,17.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165244,SANTA_ANITA,20150107,200000,-76.9714,-12.043,253,62.42,16.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165245,SANTA_ANITA,20150107,210000,-76.9714,-12.043,253,60.46,16.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
